id,name
7,Children
12,Mechanical Santa
13,Tattoo Man
16,DOCTOR ZITSOFSKY
20,Students
24,Little Boy
26,Lewis Clark
27,Little Girl
29,Bubbles
30,Moldy
34,Ticket Seller
35,Elf #1
36,Elves
37,Dog's Owner
39,Kids
41,Conductor
42,Secretary
46,Sydney
47,Cecile Shapiro
48,Ian
49,Calvin
50,"Martin Prince, Sr."
51,Richard
53,Wendell Borton
57,Smilin' Joe Fission
58,Rod #1
59,Rod #2
60,RODS
61,Workman #1
62,Foreman
63,TERRI & SHERRI
64,PUNK TEENAGER
65,Tv Announcer #1
66,Tv Announcer #2
67,Jingle Chorus
68,Sylvia Winfield
69,Old Man Winfield
70,Councilman #1
72,Councilman #2
73,COUNCILMEN #1/#2
74,Demonstrator #1
75,Crowd
76,MR. GAMMILL
77,TOM
78,Mrs. Long
79,Wife #1
80,Wife #2
81,Other Women
82,Nice Father
83,Nice Boy
84,NICE GIRL
85,Nice Mother
86,NICE FAMILY
87,Williams Boy
88,Mr. Williams
89,BOXING ANNOUNCER
92,TV-STATION ANNOUNCER
93,Tv Wife
94,Tv Husband
95,Small Boy
97,Pawn Broker
99,Homer-ish Husband
100,Weasel #1
102,ALL AT THE TABLE
103,Kid
104,Weasel #2
105,Maggie Simpson
106,Homer's Image
107,Elderly Gentleman
109,All
1,Marge Simpson
8,Bart Simpson
9,Lisa Simpson
17,Moe Szyslak
3,Seymour Skinner
11,Ned Flanders
31,Grampa Simpson
71,Chief Wiggum
25,Milhouse Van Houten
14,Waylon Smithers
101,Nelson Muntz
40,Edna Krabappel-Flanders
33,Announcer
22,Selma Bouvier
18,Barney Gumble
10,Patty Bouvier
38,Martin Prince
52,Otto Mann
91,Lou
5,Todd Flanders
96,Dr. Marvin Monroe
43,Dr. J. Loren Pyror
6,Dewey Largo
90,Eddie
21,Teacher
28,Clerk
32,Father
54,Sherri Mackleberry
4,JANEY
44,Ms. Melon
19,Interviewer
45,Ethan Foley
55,Terri Mackleberry
23,Voice
98,Receptionist
110,Ms. Barr
113,Newsman
114,Barflies
116,Boy Onlooker
117,Champ
122,NED
125,Homer's Canyon Echo
126,Camper Father
127,Camper Mother
128,Photographer
129,Game Warden
130,Reporter #1
131,Reporter #2
132,Flunky
133,Map Boy
134,Man #1
135,Man #2
136,German Scientist
137,Beautiful French Scientist
138,English Scientist
141,Announcer #1
142,Radio Announcer #1
143,Churchgoing Woman
147,Girl On Screen
148,Boy On Screen
149,Usher
150,Mr. Dandy
151,Radio Announcer #3
152,Jebediah Springfield
154,TV ANNOUNCER #3 CONT'D
155,Mob
157,Waiters
158,1st Waiter Quartet
159,2nd Waiter Quartet
160,3rd Waiter Quartet
161,4TH QUARTET OF WAITERS
162,Counter Guy
164,HELEN
166,Another Worker
167,Female Mail Carrier
168,Mr. Fisk
169,Eugene Fisk
172,Workers
173,Princess Kashmir
174,Hoyt
175,Girl #1
176,Boy #1
177,All Kids
178,Freddie
179,Lewis's Dad
180,Al
181,Happy Man
182,Funky Guy
184,Man At Door
185,Ticket-seller
186,Stage Manager
188,Theatre-goer #1
189,Theatre-goer #2
190,Theatre-goer #3
193,Steward
195,Adil Hoxha
196,UGOLIN
198,Male Announcer
199,Military Man
200,MARGE & BART
201,Gendarme
202,Cia Agent #1
203,Cia Agent #2
204,Brad
205,Female Announcer
206,Brittany
207,ITCHY & SCRATCHY CHORUS
209,Police Artist
210,Scott Christian
212,Reporter #3
215,District Attorney
216,Merchant
211,Kent Brockman
208,Apu Nahasapeemapetilon
165,Lenny Leonard
170,Carl Carlson
153,Sideshow Bob
119,Ralph Wiggum
144,Jimbo Jones
192,Agnes Skinner
145,Kearney Zzyzwicz
146,DOLPH
214,Judge Snyder
163,Jacques
124,Salesman
118,Woman
121,Rod Flanders
183,Manager
111,Bleeding Gums Murphy
123,Cowboy Bob
112,Jacqueline Bouvier
171,Waiter
187,Gulliver Dark
197,Cesar
120,Stan
115,Cashier
191,Krusty Doll
213,Lawyer
194,Mother
217,Foreperson
219,Merchandiser #1
220,Merchandiser #3
221,Kbbl Weatherman
224,Screener
225,Worker One
226,Florist
227,Lucille Botzcowski
228,Maitre D'
229,Doofy
230,U-Squeal Operator
231,Tv Reporter
233,Bart's Voice
234,Krabappel's Mouth
235,GRANDMA
236,Nurse Farrell
241,Entire Town
242,Thomas Jefferson
243,John Adams
244,Samuel Chase
245,Roger Sherman
246,Benjamin Franklin
247,Tv Host
248,Tv Contestant
249,Good-looking Man
250,Dr. H. Boyle
251,Mr. Winfield
252,Mourners
253,Other Runner
254,Jake
255,Woman Applicant
257,Man In Tuxedo
258,Executive #1
259,Executive #3
260,Moving Man
261,House
262,Kang
263,Serak The Preparer
264,Kodos
265,V.O.
266,Raven
267,Dave Shutton
268,Chief Inspector
269,Dean Danielson
271,DANEILSON
274,OLD BEARDED GUY
275,Charles Darwin
276,Singers
277,MARY BAILEY
278,Investigator #1
279,Investigator #2
280,Investigator #3
281,Make-up Man
282,Gregor
283,GAMMILL
284,FLASH
285,Player #1
286,P.A. Announcer
288,Dan Hoard
289,Vendor
290,VENDER
291,MR. O'HARA
292,Man On Bus
293,Player #2
294,Rasta #1
295,Rasta #2
296,Supervisor
297,Tony Bennett
298,Capital City Goofball
299,Dave Glass
300,First Wife #3
301,First Wife #1
302,Hot Dog Man
303,Spectator #1
304,Spectator #2
305,Spectator #3
306,Clubhouse Attendant
