id,imdb,imdb_votes,number_in_season,number_in_series,datetime,season,title,us_viewers
10,7.4,1511.0,10,10,1990-03-25,1,Homer's Night Out,30300000.0
12,8.3,1716.0,12,12,1990-04-29,1,Krusty Gets Busted,30400000.0
14,8.2,1638.0,1,14,1990-10-11,2,"Bart Gets an ""F""",33600000.0
17,8.1,1457.0,4,17,1990-11-01,2,Two Cars in Every Garage and Three Eyes on Every Fish,26100000.0
19,8.0,1366.0,6,19,1990-11-15,2,Dead Putting Society,25400000.0
21,8.4,1522.0,8,21,1990-12-06,2,Bart the Daredevil,26200000.0
23,7.8,1340.0,10,23,1991-01-10,2,Bart Gets Hit by a Car,24800000.0
26,8.0,1329.0,13,26,1991-02-07,2,Homer vs. Lisa and the 8th Commandment,26200000.0
28,8.2,1413.0,15,28,1991-02-21,2,"Oh Brother, Where Art Thou?",26800000.0
30,7.6,1243.0,17,30,1991-03-28,2,Old Money,21200000.0
32,8.5,1684.0,19,32,1991-04-25,2,Lisa's Substitute,17700000.0
35,8.0,1223.0,22,35,1991-07-11,2,Blood Feud,17300000.0
37,7.7,1274.0,2,37,1991-09-26,3,Mr. Lisa Goes to Washington,20200000.0
39,8.7,1446.0,4,39,1991-10-10,3,Bart the Murderer,20800000.0
41,7.7,1262.0,6,41,1991-10-24,3,"Like Father, Like Clown",20200000.0
44,7.9,1194.0,9,44,1991-11-14,3,Saturdays of Thunder,24700000.0
46,8.2,1291.0,11,46,1991-12-05,3,Burns Verkaufen der Kraftwerk,21100000.0
48,8.5,1365.0,13,48,1992-01-09,3,Radio Bart,24200000.0
51,8.3,1272.0,16,51,1992-02-13,3,Bart the Lover,20500000.0
53,8.2,1201.0,18,53,1992-02-27,3,Separate Vocations,23700000.0
55,7.9,1233.0,20,55,1992-03-26,3,Colonel Homer,25500000.0
58,7.8,1160.0,23,58,1992-05-07,3,Bart's Friend Falls in Love,19500000.0
60,8.4,1414.0,1,60,1992-09-24,4,Kamp Krusty,21800000.0
65,8.2,1293.0,6,65,1992-11-03,4,Itchy & Scratchy: The Movie,20100000.0
69,8.5,1350.0,10,69,1992-12-03,4,Lisa's First Word,28600000.0
72,8.0,1153.0,13,72,1993-01-21,4,Selma's Choice,24500000.0
7,7.9,1638.0,7,7,1990-02-18,1,The Call of the Simpsons,27600000.0
24,8.8,1687.0,11,24,1991-01-24,2,"One Fish, Two Fish, Blowfish, Blue Fish",24200000.0
80,7.7,1080.0,21,80,1993-05-06,4,Marge in Chains,17300000.0
82,8.4,1416.0,1,82,1993-09-30,5,Homer's Barbershop Quartet,19900000.0
84,8.6,1476.0,3,84,1993-10-14,5,Homer Goes to College,18100000.0
87,8.0,1132.0,6,87,1993-11-04,5,Marge on the Lam,21700000.0
89,8.7,1270.0,8,89,1993-11-18,5,Boy-Scoutz 'n the Hood,20100000.0
92,8.2,1202.0,11,92,1994-01-06,5,Homer the Vigilante,20100000.0
93,8.1,1123.0,12,93,1994-02-03,5,Bart Gets Famous,20000000.0
95,8.2,1187.0,14,95,1994-02-17,5,Lisa vs. Malibu Stacy,20500000.0
98,7.9,1116.0,17,98,1994-03-31,5,Bart Gets an Elephant,17000000.0
102,7.5,1014.0,21,102,1994-05-12,5,Lady Bouvier's Lover,15100000.0
104,8.6,1330.0,1,104,1994-09-04,6,Bart of Darkness,15100000.0
107,8.5,1277.0,4,107,1994-10-02,6,Itchy & Scratchy Land,14800000.0
111,8.4,1236.0,8,111,1994-11-13,6,Lisa on Ice,17900000.0
114,7.8,1100.0,11,114,1994-12-18,6,Fear of Flying,15600000.0
116,8.5,1284.0,13,116,1995-01-22,6,And Maggie Makes Three,17300000.0
118,8.5,1254.0,15,118,1995-02-12,6,Homie the Clown,17600000.0
120,7.9,1006.0,17,120,1995-02-26,6,Homer vs. Patty and Selma,18900000.0
123,8.1,1051.0,20,123,1995-04-09,6,Two Dozen and One Greyhounds,11600000.0
125,8.3,1084.0,22,125,1995-04-30,6,'Round Springfield,12600000.0
127,8.6,1285.0,24,127,1995-05-14,6,Lemon of Troy,13100000.0
130,8.3,1172.0,2,130,1995-09-24,7,Radioactive Man,15700000.0
132,8.7,1354.0,4,132,1995-10-08,7,Bart Sells His Soul,14800000.0
134,8.5,1304.0,6,134,1995-10-29,7,Treehouse of Horror VI,19700000.0
139,8.3,1146.0,11,139,1995-12-17,7,Marge Be Not Proud,16700000.0
140,8.3,1064.0,12,140,1996-01-07,7,Team Homer,16700000.0
143,7.7,954.0,15,143,1996-02-11,7,Bart the Fink,15000000.0
67,8.2,1240.0,8,67,1992-11-12,4,New Kid on the Block,23100000.0
149,8.8,1393.0,21,149,1996-04-14,7,22 Short Films About Springfield,10500000.0
151,8.0,995.0,23,151,1996-05-05,7,Much Apu About Nothing,11300000.0
153,8.3,1119.0,25,153,1996-05-19,7,Summer of 4 Ft. 2,14700000.0
157,7.7,1079.0,4,157,1996-11-17,8,"Burns, Baby Burns",12600000.0
160,7.8,1005.0,7,160,1996-12-15,8,Lisa's Date with Density,
163,9.0,1793.0,10,163,1997-01-12,8,The Springfield Files,20900000.0
164,7.8,998.0,11,164,1997-01-19,8,The Twisted World of Marge Simpson,14000000.0
167,7.9,1079.0,14,167,1997-02-09,8,The Itchy & Scratchy & Poochie Show,15500000.0
168,8.9,1666.0,15,168,1997-02-16,8,Homer's Phobia,15300000.0
171,8.7,1330.0,18,171,1997-03-16,8,Homer vs. the Eighteenth Amendment,14600000.0
173,7.7,913.0,20,173,1997-04-13,8,The Canine Mutiny,
175,8.0,973.0,22,175,1997-04-27,8,In Marge We Trust,16900000.0
178,7.8,967.0,25,178,1997-05-18,8,The Secret War of Lisa Simpson,12700000.0
180,7.4,1158.0,2,180,1997-09-28,9,The Principal and the Pauper,14900000.0
184,7.7,925.0,6,184,1997-11-09,9,Bart Star,10600000.0
186,8.0,978.0,8,186,1997-11-23,9,Lisa the Skeptic,9300000.0
189,5.1,1119.0,11,189,1998-01-04,9,"All Singing, All Dancing",8900000.0
191,8.2,1042.0,13,191,1998-02-08,9,The Joy of Sect,9400000.0
196,7.8,906.0,18,196,1998-03-22,9,This Little Wiggy,8900000.0
198,7.9,949.0,20,198,1998-04-05,9,The Trouble with Trillions,7400000.0
200,8.5,1108.0,22,200,1998-04-26,9,Trash of the Titans,10200000.0
203,8.1,931.0,25,203,1998-05-17,9,Natural Born Kissers,8600000.0
205,8.2,988.0,2,205,1998-09-20,10,The Wizard of Evergreen Terrace,7950000.0
207,8.0,1013.0,4,207,1998-10-25,10,Treehouse of Horror IX,8500000.0
212,8.2,975.0,9,212,1998-12-20,10,Mayored to the Mob,8500000.0
214,7.7,834.0,11,214,1999-01-17,10,Wild Barts Can't Be Broken,8800000.0
219,7.5,795.0,16,219,1999-02-28,10,Make Room for Lisa,7600000.0
222,7.6,831.0,19,222,1999-04-11,10,Mom and Pop Art,8500000.0
224,7.2,789.0,21,224,1999-05-02,10,Monty Can't Buy Me Love,7260000.0
226,7.9,964.0,23,226,1999-05-16,10,Thirty Minutes over Tokyo,8000000.0
229,7.5,797.0,3,229,1999-10-24,11,Guess Who's Coming to Criticize Dinner?,6700000.0
231,7.6,817.0,5,231,1999-11-07,11,E-I-E-I-(Annoyed Grunt),8400000.0
233,7.1,747.0,7,233,1999-11-21,11,Eight Misbehavin',9200000.0
238,7.3,747.0,12,238,2000-01-23,11,The Mansion Family,11300000.0
240,7.9,887.0,14,240,2000-02-13,11,"Alone Again, Natura-diddily",10800000.0
242,7.3,755.0,16,242,2000-02-27,11,Pygmoelian,9400000.0
245,6.6,805.0,19,245,2000-04-30,11,Kill the Alligator and Run,7460000.0
247,7.3,737.0,21,247,2000-05-14,11,"It's a Mad, Mad, Mad, Mad Marge",7500000.0
249,7.6,829.0,1,249,2000-11-01,12,Treehouse of Horror XI,13200000.0
