id,normalized_name
1,street
2,car
3,springfield elementary school
4,auditorium
5,simpson home
6,kitchen
7,shopping mall parking lot
8,springfield mall
9,the happy sailor tattoo parlor
10,springfield nuclear power plant
11,plant
12,dermatology clinic
13,laboratory
14,circus of values
15,moe tavern
16,santa school
17,santa workshop
18,workshop
19,personnel office
20,springfield downs dog track
21,springfield downs
22,paddock
23,springfield down
24,springfield downs parking lot
25,simpson living room
26,springfield elementary school playground
27,classroom
28,skinner office
29,homer car
30,new school
31,opera house
32,old school
33,new classroom
34,school building
35,simpson back porch
36,bus
37,road
38,conference room
39,coffee room
40,bar
41,berger burgers
42,refrigerator
43,bart bedroom
44,simpson backyard
45,simpson neighborhood
46,master bedroom
47,living room
48,springfield town hall
49,city council chambers
50,park
51,burns office
52,a bumpy dirt road
53,burns manor
54,another part of the road
55,burns back yard
56,nursery
57,backyard
58,dirt road
59,simpson dining room
60,neighbor 1 house
61,williams house
62,williams den
63,williams lawn
64,another house
65,pawn shop
66,family therapy center
67,dr monroe office
68,dr monroe laboratory
69,waiting room
70,street neighbor 2 house
71,school bus
72,near school entrance
73,playground
74,room
75,staircase
76,springfield elementary school hallway
77,springfield elementary school cafeteria
78,mortuary
79,springfield retirement castle
80,grampa room at springfield retirement castle
81,outside herman military antiques
82,herman military antiques
83,bart class in school
84,bart treehouse
85,city park
86,another neighborhood street
87,neighborhood street
88,parading down elm street
89,base of tree below bart treehouse
90,springfield library
91,simpson bathroom
92,bathroom
93,den
94,foyer
95,music class
96,lunchroom
97,exercise room
98,lisa bedroom
99,bridge
100,simpson master bedroom
101,noiseland arcade
102,marge car
103,springfield elementary school yard
104,jazz hole nightclub
105,simpson front yard
106,bob rv round-up
107,inside the ultimate behemoth
108,inside credit office
109,back of the rv lot
110,freeway
111,a narrow dirt road
112,van
113,overhead shot of van
114,near the edge of cliff
115,marge and lisa campsite
116,deep woods
117,the girls campsite
118,the woods
119,base of waterfall
120,bear cave
121,somewhere in woods
122,forest
123,a campground near the bear cave
124,a clearing in the woods
125,the deep woods
126,creek
127,along the interstate
128,outside the bear cave
129,science laboratory
130,streets
131,first church of springfield
132,sunday school classroom
133,house
134,movie theatre
135,theatre
136,kwik-e-mart
137,hallway
138,various street locations
139,old folk home
140,simpson kitchen
141,girdles n such fancy lingerie
142,the jock shoppe
143,the singing sirloin
144,barney bowlarama
145,maggie bedroom
146,simpson foyer
147,coffee shop
148,yard
149,jacques apartment
150,lunchroom at the power plant
151,simpson car
152,public mailbox
153,master bathroom
154,party room
155,the rusty barnacle
